date,pm2_5,pm2_5_min,pm2_5_max
2024-01-01,19.18,5.7,31.9
2024-01-02,8.4,4.5,20.4
2024-01-03,11.62,6.7,23.2
2024-01-04,20.5,1.7,43.8
2024-01-05,4.67,2.0,13.3
2024-01-06,18.02,10.7,33.2
2024-01-07,4.26,1.1,8.8
2024-01-08,5.52,2.1,27.5
2024-01-09,32.75,17.2,59.8
2024-01-10,7.16,2.0,21.6
2024-01-11,5.93,2.9,12.9
2024-01-12,10.85,5.1,17.7
2024-01-13,5.94,2.4,10.1
2024-01-14,5.1,2.5,9.1
2024-01-15,7.34,3.4,16.4
2024-01-16,20.52,7.3,26.0
2024-01-17,4.54,3.1,8.1
2024-01-18,13.33,10.5,22.6
2024-01-19,23.27,9.3,37.0
2024-01-20,3.63,1.5,9.8
2024-01-21,1.94,1.2,3.9
2024-01-22,6.51,5.1,11.3
2024-01-23,21.13,15.1,48.1
2024-01-24,31.75,13.5,65.0
2024-01-25,15.54,5.2,39.7
2024-01-26,12.0,4.3,28.3
2024-01-27,21.3,4.9,54.9
2024-01-28,11.36,3.1,37.7
2024-01-29,2.75,1.9,4.2
2024-01-30,6.52,4.4,12.8
2024-01-31,8.89,6.5,19.1
2024-02-01,22.42,9.0,38.8
2024-02-02,21.45,5.2,32.7
2024-02-03,4.81,2.5,9.5
2024-02-04,10.36,5.4,16.6
2024-02-05,11.5,7.6,17.3
2024-02-06,10.08,5.4,14.3
2024-02-07,13.5,7.9,34.2
2024-02-08,30.28,12.7,53.0
2024-02-09,10.97,8.0,20.0
2024-02-10,19.03,13.5,25.8
2024-02-11,13.48,8.6,23.0
2024-02-12,13.24,8.0,27.1
2024-02-13,14.32,6.2,39.8
2024-02-14,3.98,1.4,9.9
2024-02-15,7.4,5.8,10.5
2024-02-16,4.76,1.3,10.8
2024-02-17,20.18,1.8,50.6
2024-02-18,9.43,7.7,13.8
2024-02-19,10.85,1.8,23.1
2024-02-20,10.37,3.6,25.0
2024-02-21,16.39,8.4,23.5
2024-02-22,17.58,7.7,25.8
2024-02-23,14.51,9.8,27.6
2024-02-24,13.58,3.2,32.1
2024-02-25,11.34,6.2,21.0
2024-02-26,15.5,10.8,23.6
2024-02-27,23.6,13.0,35.4
2024-02-28,10.9,8.7,13.3
2024-02-29,3.15,1.4,9.5
2024-03-01,12.48,8.1,16.6
2024-03-02,15.05,12.0,21.7
2024-03-03,7.48,3.6,26.6
2024-03-04,24.51,10.9,47.6
2024-03-05,6.45,4.2,11.1
2024-03-06,16.38,10.0,24.5
2024-03-07,4.18,1.7,16.7
2024-03-08,8.63,6.1,14.4
2024-03-09,10.85,7.5,18.1
2024-03-10,4.33,1.7,12.0
2024-03-11,3.4,0.9,7.0
2024-03-12,6.98,3.8,12.5
2024-03-13,19.4,14.9,24.7
