datetime,date,hour,nitrogen_dioxide
2026-07-26T00:00,2026-07-26,00,42.7
2026-07-26T01:00,2026-07-26,01,41.1
2026-07-26T02:00,2026-07-26,02,39.7
2026-07-26T03:00,2026-07-26,03,39.9
2026-07-26T04:00,2026-07-26,04,43.2
2026-07-26T05:00,2026-07-26,05,48.2
2026-07-26T06:00,2026-07-26,06,51.4
2026-07-26T07:00,2026-07-26,07,50.4
2026-07-26T08:00,2026-07-26,08,47.6
2026-07-26T09:00,2026-07-26,09,47.5
2026-07-26T10:00,2026-07-26,10,53.2
2026-07-26T11:00,2026-07-26,11,61.5
2026-07-26T12:00,2026-07-26,12,66.9
2026-07-26T13:00,2026-07-26,13,66.5
2026-07-26T14:00,2026-07-26,14,63.2
2026-07-26T15:00,2026-07-26,15,59.7
2026-07-26T16:00,2026-07-26,16,56.4
2026-07-26T17:00,2026-07-26,17,52.9
2026-07-26T18:00,2026-07-26,18,50.8
2026-07-26T19:00,2026-07-26,19,51.8
2026-07-26T20:00,2026-07-26,20,54.3
2026-07-26T21:00,2026-07-26,21,54.8
2026-07-26T22:00,2026-07-26,22,51.6
2026-07-26T23:00,2026-07-26,23,46.3
2026-07-27T00:00,2026-07-27,00,40.7
2026-07-27T01:00,2026-07-27,01,34.1
2026-07-27T02:00,2026-07-27,02,27.2
2026-07-27T03:00,2026-07-27,03,23.2
2026-07-27T04:00,2026-07-27,04,23.6
2026-07-27T05:00,2026-07-27,05,27.0
2026-07-27T06:00,2026-07-27,06,31.9
2026-07-27T07:00,2026-07-27,07,39.5
2026-07-27T08:00,2026-07-27,08,48.6
2026-07-27T09:00,2026-07-27,09,54.7
2026-07-27T10:00,2026-07-27,10,55.2
2026-07-27T11:00,2026-07-27,11,52.5
2026-07-27T12:00,2026-07-27,12,49.8
2026-07-27T13:00,2026-07-27,13,47.8
2026-07-27T14:00,2026-07-27,14,45.6
2026-07-27T15:00,2026-07-27,15,43.8
2026-07-27T16:00,2026-07-27,16,42.5
2026-07-27T17:00,2026-07-27,17,41.5
2026-07-27T18:00,2026-07-27,18,40.4
2026-07-27T19:00,2026-07-27,19,39.1
2026-07-27T20:00,2026-07-27,20,37.7
2026-07-27T21:00,2026-07-27,21,36.2
2026-07-27T22:00,2026-07-27,22,34.1
2026-07-27T23:00,2026-07-27,23,32.0
2026-07-28T00:00,2026-07-28,00,30.8
2026-07-28T01:00,2026-07-28,01,31.3
2026-07-28T02:00,2026-07-28,02,32.8
2026-07-28T03:00,2026-07-28,03,34.6
2026-07-28T04:00,2026-07-28,04,36.1
2026-07-28T05:00,2026-07-28,05,38.0
2026-07-28T06:00,2026-07-28,06,41.5
2026-07-28T07:00,2026-07-28,07,48.1
2026-07-28T08:00,2026-07-28,08,56.4
2026-07-28T09:00,2026-07-28,09,63.3
2026-07-28T10:00,2026-07-28,10,67.4
2026-07-28T11:00,2026-07-28,11,70.1
2026-07-28T12:00,2026-07-28,12,72.5
2026-07-28T13:00,2026-07-28,13,75.7
2026-07-28T14:00,2026-07-28,14,78.6
2026-07-28T15:00,2026-07-28,15,79.2
2026-07-28T16:00,2026-07-28,16,76.3
2026-07-28T17:00,2026-07-28,17,71.2
2026-07-28T18:00,2026-07-28,18,65.7
2026-07-28T19:00,2026-07-28,19,59.8
2026-07-28T20:00,2026-07-28,20,53.4
2026-07-28T21:00,2026-07-28,21,48.8
2026-07-28T22:00,2026-07-28,22,46.9
2026-07-28T23:00,2026-07-28,23,46.7
